name,ring,quadrant,isNew,description
Continuous integration,Trial,Techniques,TRUE,"Continuous integration is an automation process. Successful CI means new changes to an app are regularly built, tested, and merged to a shared repository."
Continuous deployment,Trial,Techniques,TRUE,Continuous deployment refers to automatically releasing a changes from the repository to dev/test/prod environments.
IST,Adopt,Platforms,TRUE,
RPM,Adopt,Tools,TRUE,A package management tool for Linux distributions.
Bitbucket,Adopt,Tools,FALSE,
Chocolatey ,Adopt,Tools,FALSE,
ScriptRunner,Adopt,Tools,FALSE,"In-house developed tool that forms part of the deployment framework (Bitbucket, Artifactory, Chocolatey) allowing the semi-automated packaging and deployment of code and applications."
Linux,Adopt,Platforms,FALSE,
Docker,Assess,Platforms,TRUE,"Docker is a technology that allows you to create, run, and manage containers"
Java,Adopt,Languages and frameworks,FALSE,
Powershell,Adopt,Tools,FALSE,
Utility Platform,Adopt,Tools,FALSE,
GAWK/AWK,Adopt,Languages and frameworks,FALSE,"Scripting tool for small projects run in Linux and Windows, currently used by VEP and Digital Utilities"
Eclipse,Adopt,Tools,FALSE,
Postman,Adopt,Tools,FALSE,
JavaScript,Adopt,Languages and frameworks,FALSE,"Currently used for Digital transaction feed to Paydock, X-Ray, and MPGS"
Oracle SQL Developer,Adopt,Tools,FALSE,
MS SQL Sever Management Studio,Adopt,Tools,FALSE,
Visual Studio Code,Adopt,Tools,FALSE,
Beyond Compare,Adopt,Tools,FALSE,
Xray,Adopt,Tools,FALSE,Quality Assurance Tool - Test Management tool tied-up with Jira
Python,Adopt,Languages and frameworks,FALSE,Used in our Automation space
Notepad++,Adopt,Tools,FALSE,
SQL Dev tools ,Adopt,Tools,FALSE,Used for SQL script creation and updates
Visio,Adopt,Tools,FALSE,
https://hexed.it/,Adopt,Tools,FALSE,Data translator
Greenshot,Adopt,Tools,FALSE,"Greenshot is a free and open-source screenshot program for Microsoft Windows,  Already available in Coles catalogue"
C#,Adopt,Languages and frameworks,FALSE,Used for generation of adhoc applications 
Office,Hold,Platforms,FALSE,
Data Navigator,Adopt,Platforms,TRUE,
SQL,Adopt,Languages and frameworks,FALSE,
Controlm,Adopt,Tools,FALSE,Used for scheduling the jobs.Have vast Maintenance knowledge but not Admin or installer knowledge
Prognosis,Adopt,Tools,FALSE,
Postilion - Realtime /Console/Tracelog,Adopt,Tools,FALSE,
Postilion - Office,Hold,Tools,FALSE,
Master card Simulator(MCPS),Trial,Tools,FALSE,Installation & configuration is done by Captain Change team and used by Testing team
Master card Simulator (MAS),Adopt,Tools,FALSE,Installation & configuration is done by Captain Change team and used by Testing team
Terminal Management System (TMS),Adopt,Tools,FALSE,
Quest,Adopt,Tools,FALSE,
VisaEdit,Adopt,Tools,FALSE,
Finsim,Adopt,Tools,FALSE,Installation & configuration is done by Captain Change team and used by Testing team
Pinpad,Adopt,Tools,FALSE,
MPGS ,Trial,Platforms,FALSE,End users only and will be using only the portal
Paydock,Trial,Platforms,FALSE,End users only and will be using only the portal
Visa Token Id,Trial,Platforms,FALSE,End users only and will be using only the portal
VB Scripts,Adopt,Languages and frameworks,FALSE,
Shell Scripts,Trial,Languages and frameworks,FALSE,No development activities and supporting UP related jobs and scripts
CPAT Tool,Adopt,Tools,FALSE,
Service now,Adopt,Tools,FALSE,
Master card connect,Adopt,Platforms,FALSE,
"C, C++, Java",Assess,Platforms,FALSE,
Cadencie,Trial,Platforms,FALSE,End users only and will be using only the portal
Artifactory,Adopt,Platforms,FALSE,
Storeadd Utility,Adopt,Tools,FALSE,
Pinpad Track&Trace,Trial,Tools,FALSE,
MS Access,Adopt,Platforms,FALSE,
JIRA,Adopt,Tools,FALSE,
Confluence,Adopt,Tools,FALSE,
Sharepoint,Adopt,Tools,FALSE,
Azure Blob Storage/Data factory/Monitoring,Trial,Tools,FALSE,Monitoring the file transfers
Venafi,Adopt,Platforms,FALSE,
MQ/MFT/Connect Direct,Adopt,Tools,FALSE,
GOCD,Trial,Tools,FALSE,
Utility Platform,Adopt,Platforms,FALSE,
Visa Test Systems,Trial,Platforms,FALSE,Only install/upgrades - Testing team occasionally use it
UPI,Trial,Platforms,FALSE,Only install/upgrades - Testing team occasionally use it
Git,Adopt,Tools,FALSE,
Citrix,Adopt,Platforms,FALSE,
IDM ,Adopt,Tools,FALSE,
PAM,Adopt,Tools,FALSE,
One note,Adopt,Tools,FALSE,
